1994group.ac.uk, The 1994 Group
3sixty-ucc.ac.uk, University of Aberdeen
4gls.ac.uk, Science and Technology Facilities Council
APR.ac.uk, The National Archives
CLOUDWORKS.ac.uk, The Open University
CONTEMP-HIST-ARCH.ac.uk, The Open University
Churchill.ac.uk, University of Cambridge
CityCollegeSoton.ac.uk, Southampton City College
DaventrylearningPartnership.ac.uk, Northampton College
Emec.ac.uk, The European Marine Energy Centre Limited
En-compass.ac.uk, University of Newcastle upon Tyne
GCU.ac.uk, Glasgow Caledonian University
Greenwichobservatory.ac.uk, National Maritime Museum
HESTEM.ac.uk, University of Birmingham
KirkleesCollege.ac.uk, Kirklees College
LANCS-Initiative.ac.uk, School of Computer Science
LERSNET.ac.uk, Legal Empirical Research Support Network
aacts.ac.uk, University of Westminster
aaschool.ac.uk, Architectural Association School of Architecture
aau.ac.uk, The Association Aerospace Universities
abcol.ac.uk, Aberdeen College
abcolstudents.ac.uk, Aberdeen College
abdn.ac.uk, University of Aberdeen
aber.ac.uk, Aberystwyth University
aberbangorpartnership.ac.uk, Research Enterprise Partnership
aberdare.ac.uk, Coleg Morgannwg
aberdeen.ac.uk, University of Aberdeen
aberdeenrescon.ac.uk, Aberdeen Research Consortium
abertawe.ac.uk, University of Wales - Swansea
abertay-dundee.ac.uk, University of Abertay Dundee
abertay.ac.uk, University of Abertay Dundee
aberystwyth.ac.uk, Aberystwyth University
abingdon-witney.ac.uk, Abingdon and Witney College
abrsm.ac.uk, Associated Board Royal School of Music
abrsmseal.ac.uk, Associated Board of the Royal School of Music
abs.ac.uk, The Robert Gordon University
abseal.ac.uk, Associated Board of the Royal School of Music
acacia.ac.uk, Somerset Care Ltd
academicmedicine.ac.uk, The Academy of Medical Science
academyofmusic.ac.uk, The Academy of Music & Sound Ltd
access-summit.ac.uk, The University of Manchester
accesshe.ac.uk, University of London
accesstohe.ac.uk, The Quality Assurance Agency for Higher Education
accesstohighereducation.ac.uk, The Quality Assurance Agency for Higher Education
accross.ac.uk, Accrington and Rossendale College
ace.ac.uk, ACE - Assisting Collaborative Education
aced.ac.uk, University of Edinburgh
acer.ac.uk, Association of Colleges in the Eastern Region
aces.ac.uk, Natural Environment Research Council
acets.ac.uk, University of Edinburgh
acm.ac.uk, Academy of Contemporary Music
acmedsci.ac.uk, Academy of Medical Sciences
acp.ac.uk, Staffordshire University
actofunion.ac.uk, The Act of Union Virtual Library Project
actual.ac.uk, The University of Reading
acu.ac.uk, Association of Commonwealth Universities
acupuncture-coll.ac.uk, College of Traditional Acupuncture
adam.ac.uk, ADAM Project (ELIB)
adams-institute.ac.uk, University of Oxford
adamsmith.ac.uk, "The Adam Smith College,  Fife"
adamsmithcollege.ac.uk, "The Adam Smith College,  Fife"
adapt.ac.uk, ADAPT Project
adas.ac.uk, University of Strathclyde
adbib.ac.uk, University of Sussex
addison.ac.uk, St George's Hospital Medical School
adeptt.ac.uk, University of Hertfordshire
adlib.ac.uk, University of Hertfordshire
adls.ac.uk, University of St Andrews
ads.ac.uk, University of York
adultlearningbcc.ac.uk, Buckinghamshire County Council
advantagenottinghamshire.ac.uk, University of Nottingham
aecc-chiropractic.ac.uk, Anglo European College of Chiropractic
aecc.ac.uk, Anglo-European College of Chiropractic
aengd.ac.uk, University of Bristol
aerospace-training-wales.ac.uk, Barry College
aers.ac.uk, University of Cambridge
aes.ac.uk, The Agricultural Economics Society
afan.ac.uk, Afan College
afcl.ac.uk, Northern College for Residential Adult Education
afi.ac.uk, The Alexander Fleming Institute
africadesk.ac.uk, The British Academy
afsni.ac.uk, Science Service - Dept. of Agriculture for Northern Ireland
afterenglish.ac.uk, The Higher Education Academy
agenet.ac.uk, AgeNet
agocg.ac.uk, The University of Manchester
agrifor.ac.uk, The University of Manchester
agroforestry.ac.uk, The UK Agroforestry Forum
ags.ac.uk, Association for German Studies in Great Britain and Ireland
ahc.ac.uk, Association for History and Computing (UK Branch)
ahds.ac.uk, King's College London
ahessc.ac.uk, King's College London
ahgtm.ac.uk, Aimhigher Greater Merseyside
ahkandm.ac.uk, AimHigher Kent and Medway
ahpd.ac.uk, University of Leeds
ahrb.ac.uk, Arts and Humanities Research Council
ahrc.ac.uk, Arts and Humanities Research Council
ahua.ac.uk, Association of Heads of University Administration
aib.ac.uk, The Arts University College at Bournemouth
aim25.ac.uk, Aim25
aimhigher.ac.uk, Higher Education Funding Council for England
aimhighergreatermerseyside.ac.uk, Aimhigher Greater Merseyside
aimhigherhants.ac.uk, Aimhigher Hampshire & Isle of Wight
aimhighernorthamptonshire.ac.uk, Aimhigher Northamptonshire
aimhighernotts.ac.uk, Nottingham Trent University
aimhighernw.ac.uk, Edge Hill University
aimhigherscotland.ac.uk, University of Glasgow
aimhighersoutheast.ac.uk, Aimhigher South East
aimhighersurrey.ac.uk, Aimhigher Surrey
aimhighersw.ac.uk, "University of the West of England,  Bristol"
aimhigherwm-alps.ac.uk, University of Wolverhampton
aims.ac.uk, University of Liverpool
aire-wharf-coll.ac.uk, Airedale & Wharfedale College
aiulondon.ac.uk, American InterContinental University
aldinhe.ac.uk, University of Lincoln
ali.ac.uk, Adult Learning Inspectorate
alis-wales.ac.uk, Aberystwyth University
alladin.ac.uk, University for the Creative Arts
allcu.ac.uk, Association of Librarians in Landbase Colleges and Universities
allnations.ac.uk, All Nations Christian College
alma.ac.uk, Atacama Large Millimetre Array
aloe.ac.uk, Loughborough University
alps-cetl.ac.uk, University of Leeds
alps-wm.ac.uk, University of Wolverhampton
alt.ac.uk, Association for Learning Technology
altis.ac.uk, The University of Manchester
alton.ac.uk, Alton College
altoncollege.ac.uk, Alton College
alzheimers.ac.uk, St George's Hospital Medical School
amerc.ac.uk, Association of Marine Electronic and Radio Colleges
americabrox.ac.uk, Broxtowe College
amersham.ac.uk, Amersham and Wycombe College
amerwyc-coll.ac.uk, Amersham and Wycombe College
amet.ac.uk, The Association of Mathematics Education Teachers
amgueddfacymru.ac.uk, National Museum Wales
amh.ac.uk, University of Glasgow
ami.ac.uk, Advanced Microelectronics for Industrialists
ams-careers.ac.uk, The Academy of Medical Science
anaesthetistswales.ac.uk, Society of Anaesthetists of Wales
ancientcyprus.ac.uk, Ancient Cyprus Web Project
andover.ac.uk, "Sparsholt College,  Hampshire"
andovercollege.ac.uk, "Sparsholt College,  Hampshire"
angel.ac.uk, Authenticated Networked Guided Environment for Learning - JISC Project
anglia-polytechnic.ac.uk, Anglia Polytechnic University
anglia-ruskin.ac.uk, Anglia Ruskin University
anglia.ac.uk, Anglia Ruskin University
angus.ac.uk, Angus College
anic.ac.uk, Association of Northern Ireland Colleges
anniesland-fe.ac.uk, Anniesland College
anniesland.ac.uk, Anniesland College
antarctic.ac.uk, British Antartic Survey
antarctica.ac.uk, British Antartic Survey
antf.ac.uk, University of Westminster
anthropology.ac.uk, University of Kent
antiquity.ac.uk, Antiquity Journal
aocc.ac.uk, Amgueddfeydd ac Orielau Cenedlaethol Cymru
aphe.ac.uk, Stockport College
apis.ac.uk, Natural Environment Research Council
apts.ac.uk, University of Warwick
apu.ac.uk, Anglia Ruskin University
apuc-scot.ac.uk, Edinburgh Napier University
aqmen.ac.uk, University of Edinburgh
aquinas.ac.uk, Aquinas College
arc.ac.uk, Academic Registrars Council
archaeologydataservice.ac.uk, University of York
archive.ac.uk, The Data Archive at the University of Essex
archiveshub.ac.uk, The UK HE Archives Hub
archway.ac.uk, University College London Hospitals
arciss.ac.uk, Association of Research Centres in Social Sciences
arcom.ac.uk, Association of Researchers in Construction Management
arctic.ac.uk, British Antartic Survey
ardencollege.ac.uk, Arden College
argyllcollege.ac.uk, Argyll College
ariadne.ac.uk, Ariadne (eLib)
ark-genomics.ac.uk, Biotechnology and Biological Sciences Research Council
ark.ac.uk, University of Ulster
arm.ac.uk, Armagh Observatory
arma-uk.ac.uk, Association of Research Managers and Administrators
arma.ac.uk, Association of Research Managers and Administrators
armaghcollege.ac.uk, Southern Regional College
arnold-carlton.ac.uk, Arnold & Carlton College
arrc.ac.uk, University of Sheffield
ars.ac.uk, The Anaesthetic Research Society
art-design-careers.ac.uk, University for the Creative Arts
art-design-research.ac.uk, University for the Creative Arts
artdesignhull.ac.uk, Hull College
artifact.ac.uk, The Arts and Creative Industries Hub of the Resource Discovery
artofmaking.ac.uk, King's College London
arts-inst-bournemouth.ac.uk, The Arts University College at Bournemouth
arts.ac.uk, University of the Arts London
artsigns.ac.uk, University of Wolverhampton
aru.ac.uk, Anglia Ruskin University
asap.ac.uk, University of Nottingham
ascentis.ac.uk, Ascentis Ltd
ascr.ac.uk, Alliance for Self Care Research
aset.ac.uk, Education Development International PLC
asfc.ac.uk, Ashton Sixth Form College
asgp.ac.uk, University of Birmingham
ashridge.ac.uk, Ashridge (Bonar Law Memorial) Trust
asiabrox.ac.uk, Broxtow College
asiamap.ac.uk, School of Oriental and African Studies
askham-bryan.ac.uk, Askham Bryan College
askham.ac.uk, Askham Bryan College
askhambryan.ac.uk, Askham Bryan College
aspire-aimhigher.ac.uk, University of Greenwich
asra.ac.uk, Association for Student Residential Accommodation
assap.ac.uk, ASSAP
astec.ac.uk, Science and Technology Facilities Council
asthma-allergy.ac.uk, King's College London
aston.ac.uk, Aston University
astrogrid.ac.uk, University of Leicester
astronomy.ac.uk, UK Astronomy Distance Learning Courses
asvin.ac.uk, The Royal Veterinary College
athens.ac.uk, Eduserv
atlars.ac.uk, ATLARS
atlas.ac.uk, ATLAS UK collaboration
aua.ac.uk, Association of University Administrators
auc.ac.uk, Higher Education Wales
aucb.ac.uk, The Arts University College at Bournemouth
aucyfrwngcymraeg.ac.uk, Centre for Welsh Medium Higher Education
aude.ac.uk, The Association of University Directors of Estates
audelondon.ac.uk, University of Westminster
aue.ac.uk, The Association of University Engineers
auee.ac.uk, Association of Universities in the East of England
aulic.ac.uk, "University of the West of England,  Bristol"
auphf.ac.uk, University of St Andrews
aupo.ac.uk, Procureweb
autosub.ac.uk, NERC Southampton Oceanographic Centre Autosub
avphd.ac.uk, Goldsmiths' College
avprc.ac.uk, University of Salford
awlc.ac.uk, Acton & West London College
aylesbury.ac.uk, Aylesbury College
ayrcoll.ac.uk, Ayr College
baa.ac.uk, University of Sheffield
baap.ac.uk, University of Cambridge
baas.ac.uk, British Association for American Studies
babeltech.ac.uk, Babel Technical College
babraham.ac.uk, Babraham College
backoncourse.ac.uk, The Open University
backstage.ac.uk, University of Kent
bacl.ac.uk, Regent's College
bacoll.ac.uk, Bishop Auckland College
badc.ac.uk, Science and Technology Facilities Council
baec.ac.uk, London Borough of Bromley
bafa.ac.uk, University of Sheffield
baice.ac.uk, University of Birmingham
bailer.ac.uk, "University of the West of England,  Bristol"
bais.ac.uk, Manchester Metropolitan University
balance.ac.uk, Loughborough University
bam.ac.uk, The British Academy of Management
bandp.ac.uk, The Bournemouth and Poole College
bandpcoll.ac.uk, The Bournemouth and Poole College
banff-buchan.ac.uk, Banff and Buchan College of Further Education
bangor.ac.uk, Bangor University
barking-coll.ac.uk, Barking and Dagenham College
barkingcollege.ac.uk, Barking and Dagenham College
barkingdagenhamcollege.ac.uk, Barking and Dagenham College
barnet.ac.uk, Barnet College
barnfield.ac.uk, Barnfield College
barnsley.ac.uk, Barnsley College
barony.ac.uk, The Barony College
barrow6fc.ac.uk, Barrow-in-Furness Sixth Form College
barry.ac.uk, Barry College
bars.ac.uk, University of Stirling
barton-peveril.ac.uk, Barton Peveril College
barton.ac.uk, Barton Peveril College
bas.ac.uk, British Antartic Survey
basford-hall.ac.uk, Basford Hall College
basildon.ac.uk, South Essex College of Further and Higher Education
basingstoke.ac.uk, Basingstoke College of Technology
basketry.ac.uk, University of East Anglia
basp.ac.uk, British Association of Stroke Physicians
basr.ac.uk, The British Association for the Study of Religions
bath.ac.uk, University of Bath
bathcollege.ac.uk, City of Bath College
bathnortheastsomerset-acl.ac.uk, Bath and North East Somerset Council
bathspa.ac.uk, Bath Spa University
bbc.ac.uk, Bishop Burton College
bbcslln.ac.uk, University College Birmingham
bbk.ac.uk, Birkbeck College
bbs-cove.ac.uk, North East Worcestershire College
bbsrc.ac.uk, Biotechnology and Biological Sciences Research Council
bca.ac.uk, Berkshire College of Agriculture
bcc.ac.uk, University College London
bcftcs.ac.uk, University College Birmingham
bcno.ac.uk, British College of Naturopathy & Osteopathy
bcom.ac.uk, British College of Osteopathic Medicine
bcot.ac.uk, Basingstoke College of Technology
bctcs.ac.uk, University of Edinburgh
bcu.ac.uk, Birmingham City University
bcuc.ac.uk, Buckinghamshire New University
beaa.ac.uk, Bangor University
beaumontcollege.ac.uk, Beaumont College - A Scope College
becoming-a-teacher.ac.uk, University of Nottingham
bede.ac.uk, Bede College
bedford.ac.uk, Bedford College
bedfordshire.ac.uk, University of Bedfordshire
beds.ac.uk, University of Bedfordshire
bedsacl.ac.uk, Bedford Borough Council
beep.ac.uk, University of Bristol
bees.ac.uk, British Engineering Education Society
behaviour4learning.ac.uk, Nottingham Trent University
bei.ac.uk, University of Leeds
beinspiredatstaffs.ac.uk, Staffordshire University
beirc.ac.uk, University of Leeds
belfastinstitute.ac.uk, Belfast Metropolitan College
belfastmet.ac.uk, Belfast Metropolitan College
belfastmetropolitan.ac.uk, Belfast Metropolitan College
belfastmetropolitancollege.ac.uk, Belfast Metropolitan College
belfordcollege.ac.uk, Belford College
bell.ac.uk, University of the West of Scotland
bellerbys.ac.uk, Bellerbys College
bep.ac.uk, University of Leeds
bera.ac.uk, "Institute of Education,  University of London"
berks-coll-ag.ac.uk, Berkshire College of Agriculture
berkscollag.ac.uk, Berkshire College of Agriculture
bern.ac.uk, Network for the Built Environment
bernards.ac.uk, St Bernards College
besa.ac.uk, Liverpool Hope University
besc.ac.uk, The Queen's University of Belfast
bettertogether.ac.uk, Inter Professional Collaboration: Simulating Partnership Working in the Built Environment
beverleycollege.ac.uk, Beverley College
bexhillcollege.ac.uk, Bexhill College
bexley.ac.uk, Bexley College
bexleycollege.ac.uk, Bexley College
beyondtext.ac.uk, "Queen Mary and Westfield College,  University of London"
bftv.ac.uk, AHRB Centre for British Film and Television Studies
bgc.ac.uk, Bishop Grosseteste University College Lincoln
bgs.ac.uk, Natural Environment Research Council
bham.ac.uk, University of Birmingham
bhamcity.ac.uk, Birmingham City University
bhamcityuniversity.ac.uk, Birmingham City University
bhasvic.ac.uk, "Brighton,  Hove and Sussex Sixth Form College"
bhpgms.ac.uk, University of Hertfordshire
bhpms.ac.uk, University of Hertfordshire
bhrc.ac.uk, University of Leeds
biaa.ac.uk, The British Institute of Archaeology at Ankara
biab.ac.uk, Council for British Archaelogy
bibliography.ac.uk, University of London
bicc.ac.uk, University of Oxford
bicpa.ac.uk, Ravensbourne
bicton.ac.uk, Bicton College
bids.ac.uk, University of Bath
biea.ac.uk, The British Institute in Eastern Africa
bigf.ac.uk, British Isles GPS archive Facility
bigidea.ac.uk, Universities UK
bihg.ac.uk, British International History Group
bilborough.ac.uk, Bilborough Sixth Form College
bileta.ac.uk, British & Irish Legal Technology Association
bilk.ac.uk, Bradford College
bilston.ac.uk, Bilston Community College
bimacademy.ac.uk, University of Northumbria at Newcastle
biobank.ac.uk, UK Biobank
biobankuk.ac.uk, UK Biobank
bioethics.ac.uk, BioCentre UK
bioethicsweb.ac.uk, The University of Manchester
bioinf.ac.uk, UK MRC Human Genome Mapping Project
bioinfo.ac.uk, UK MRC Human Genome Mapping Project
bioinformatics.ac.uk, UK MRC Human Genome Mapping Project
biome.ac.uk, The University of Manchester
bioresearch.ac.uk, The University of Manchester
bioss.ac.uk, Biomathematics and Statistics Scotland
bips.ac.uk, British Institute of Persian Studies
birbeckstratford.ac.uk, Birkbeck College
birkbeck.ac.uk, Birkbeck College
birkbeckstratford.ac.uk, Birkbeck College
birmingham.ac.uk, University of Birmingham
birminghamcity.ac.uk, Birmingham City University
birminghamcityuniversity.ac.uk, Birmingham City University
birminghamschoolofacting.ac.uk, Birmingham City University
bisa.ac.uk, Aberystwyth University
bishopaucklandcollege.ac.uk, Bishop Auckland College
bishopb-college.ac.uk, Bishop Burton College
bishopburton.ac.uk, Bishop Burton College
bishopburtoncollege.ac.uk, Bishop Burton College
bishopg.ac.uk, Bishop Grosseteste University College Lincoln
bisi.ac.uk, British Institute for the Study of Iraq
bisinfonet.ac.uk, University of Northumbria at Newcastle
bite.ac.uk, British Institute of Technology & E-commerce
bja.ac.uk, University of Leeds
black-country.ac.uk, Dudley College
blackandasiangrad.ac.uk, The Association of Graduate Careers Services
blackburn.ac.uk, Blackburn College
blackpool-acl.ac.uk, Blackpool Council
blackpool.ac.uk, Blackpool and The Fylde College
blackpoolsixth.ac.uk, The Blackpool Sixth Form College
blake.ac.uk, Blake College
ble.ac.uk, London School of Hygiene and Tropical Medicine
blend-ed.ac.uk, Joint Information Systems Committee
bloomsbury.ac.uk, Birkbeck College
bloomsburydtc.ac.uk, "Institute of Education,  University of London"
blws.ac.uk, University of Hertfordshire
bm14.ac.uk, Oxford University
bmc.ac.uk, Bristol Management Centre
bme.ac.uk, Bangor University
bmetc.ac.uk, Birmingham Metropolitan College
bms.ac.uk, The British Mycological Society
bmth-poole-cad.ac.uk, Bournemouth & Poole College of Art & Design
bmth.ac.uk, Bournemouth University
bmva.ac.uk, British Machine Vision Association
bnac.ac.uk, School of Oriental and African Studies
bnu.ac.uk, Buckinghamshire New University
boa.ac.uk, The British Orthopaedic Association
bodc.ac.uk, Natural Environment Research Council
bognor-training.ac.uk, Chichester College
bognor.ac.uk, Chichester College
bolton-college.ac.uk, Bolton College
bolton-community-college.ac.uk, Bolton Community College
bolton-sfc.ac.uk, Bolton Sixth Form College
bolton.ac.uk, The University of Bolton
boltoncc.ac.uk, Bolton Community College
boltoncollege.ac.uk, Bolton Community College
boltonsix.ac.uk, Bolton Sixth Form College
bookhad.ac.uk, The London Institute HEC
bopcas.ac.uk, British Official Publications Current Awareness Service
bopcris.ac.uk, University of Southampton
borderscollege.ac.uk, Borders College
bordesley.ac.uk, Bordesley Institute
bosco.ac.uk, The Bosco Centre
bosta.ac.uk, British Orthopaedic Sports Trauma Association
bostaa.ac.uk, Royal College of Surgeons of Edinburgh
boston.ac.uk, Boston College
bostoncentre.ac.uk, Boston College
bourne.ac.uk, Chichester College of Arts- Science & Technology
bournemouth.ac.uk, Bournemouth University
bournemouthandpoole-cfe.ac.uk, Bournemouth & Poole College of FE
